Using device: cuda
Class names: ['glioma', 'meningioma', 'notumor', 'pituitary']
Train samples: 5141, Val samples: 571, Test samples: 1311
Showing sample training batch...

================================================================================
Training model: SimpleCNN
================================================================================
Epoch 64/500 | train_loss: 0.3800 train_acc: 0.8584 | val_loss: 0.3142 val_acc: 0.8827 | time: 24.4s
Epoch 65/500 | train_loss: 0.3678 train_acc: 0.8633 | val_loss: 0.3098 val_acc: 0.8914 | time: 27.0s
Epoch 66/500 | train_loss: 0.3793 train_acc: 0.8609 | val_loss: 0.3023 val_acc: 0.8984 | time: 25.7s
Epoch 67/500 | train_loss: 0.3831 train_acc: 0.8590 | val_loss: 0.2990 val_acc: 0.8844 | time: 24.1s
Epoch 68/500 | train_loss: 0.3699 train_acc: 0.8640 | val_loss: 0.3029 val_acc: 0.8862 | time: 22.3s
Epoch 69/500 | train_loss: 0.3564 train_acc: 0.8677 | val_loss: 0.3024 val_acc: 0.8862 | time: 26.5s
Epoch 70/500 | train_loss: 0.3724 train_acc: 0.8617 | val_loss: 0.2959 val_acc: 0.8844 | time: 27.2s
Epoch 71/500 | train_loss: 0.3720 train_acc: 0.8627 | val_loss: 0.3080 val_acc: 0.8914 | time: 23.3s
Epoch 72/500 | train_loss: 0.3661 train_acc: 0.8668 | val_loss: 0.3021 val_acc: 0.8914 | time: 22.3s
Epoch 73/500 | train_loss: 0.3616 train_acc: 0.8671 | val_loss: 0.3098 val_acc: 0.8827 | time: 26.3s
Epoch 74/500 | train_loss: 0.3719 train_acc: 0.8648 | val_loss: 0.3122 val_acc: 0.8757 | time: 23.6s
Epoch 75/500 | train_loss: 0.3671 train_acc: 0.8670 | val_loss: 0.3056 val_acc: 0.8757 | time: 25.2s
Epoch 76/500 | train_loss: 0.3768 train_acc: 0.8570 | val_loss: 0.3140 val_acc: 0.8774 | time: 23.0s
Epoch 77/500 | train_loss: 0.3649 train_acc: 0.8648 | val_loss: 0.2932 val_acc: 0.8984 | time: 23.1s
Epoch 78/500 | train_loss: 0.3789 train_acc: 0.8623 | val_loss: 0.3003 val_acc: 0.8862 | time: 25.7s
Epoch 79/500 | train_loss: 0.3718 train_acc: 0.8574 | val_loss: 0.3143 val_acc: 0.8757 | time: 28.8s
Epoch 80/500 | train_loss: 0.3754 train_acc: 0.8592 | val_loss: 0.2982 val_acc: 0.8897 | time: 22.8s
Epoch 81/500 | train_loss: 0.3625 train_acc: 0.8633 | val_loss: 0.2932 val_acc: 0.8967 | time: 26.5s
Epoch 82/500 | train_loss: 0.3734 train_acc: 0.8588 | val_loss: 0.3080 val_acc: 0.8792 | time: 22.1s
Epoch 83/500 | train_loss: 0.3658 train_acc: 0.8621 | val_loss: 0.2996 val_acc: 0.8897 | time: 26.7s
Epoch 84/500 | train_loss: 0.3648 train_acc: 0.8621 | val_loss: 0.3101 val_acc: 0.8827 | time: 24.4s
Epoch 85/500 | train_loss: 0.3624 train_acc: 0.8679 | val_loss: 0.3047 val_acc: 0.8897 | time: 25.3s
Epoch 86/500 | train_loss: 0.3741 train_acc: 0.8642 | val_loss: 0.2964 val_acc: 0.8897 | time: 25.8s
Epoch 87/500 | train_loss: 0.3778 train_acc: 0.8635 | val_loss: 0.3028 val_acc: 0.8862 | time: 22.3s
Epoch 88/500 | train_loss: 0.3652 train_acc: 0.8666 | val_loss: 0.3000 val_acc: 0.8809 | time: 31.5s
Epoch 89/500 | train_loss: 0.3737 train_acc: 0.8644 | val_loss: 0.3058 val_acc: 0.8879 | time: 25.2s
Epoch 90/500 | train_loss: 0.3766 train_acc: 0.8654 | val_loss: 0.3119 val_acc: 0.8809 | time: 21.9s
Epoch 91/500 | train_loss: 0.3615 train_acc: 0.8679 | val_loss: 0.3029 val_acc: 0.8862 | time: 23.4s
Epoch 92/500 | train_loss: 0.3797 train_acc: 0.8592 | val_loss: 0.2724 val_acc: 0.9019 | time: 24.7s
Epoch 93/500 | train_loss: 0.3579 train_acc: 0.8714 | val_loss: 0.3121 val_acc: 0.8827 | time: 29.0s
Epoch 94/500 | train_loss: 0.3689 train_acc: 0.8673 | val_loss: 0.3028 val_acc: 0.8809 | time: 22.0s
Epoch 95/500 | train_loss: 0.3738 train_acc: 0.8648 | val_loss: 0.3004 val_acc: 0.8844 | time: 23.8s
Epoch 96/500 | train_loss: 0.3597 train_acc: 0.8697 | val_loss: 0.3074 val_acc: 0.8879 | time: 25.0s
Epoch 97/500 | train_loss: 0.3689 train_acc: 0.8640 | val_loss: 0.2964 val_acc: 0.8967 | time: 23.5s
Epoch 98/500 | train_loss: 0.3710 train_acc: 0.8652 | val_loss: 0.2998 val_acc: 0.8827 | time: 28.9s
Epoch 99/500 | train_loss: 0.3660 train_acc: 0.8650 | val_loss: 0.2989 val_acc: 0.8862 | time: 23.9s
Epoch 100/500 | train_loss: 0.3700 train_acc: 0.8615 | val_loss: 0.3156 val_acc: 0.8687 | time: 24.1s
Epoch 101/500 | train_loss: 0.3734 train_acc: 0.8660 | val_loss: 0.3109 val_acc: 0.8809 | time: 23.2s
Epoch 102/500 | train_loss: 0.3760 train_acc: 0.8625 | val_loss: 0.2972 val_acc: 0.8914 | time: 24.7s
Epoch 103/500 | train_loss: 0.3785 train_acc: 0.8625 | val_loss: 0.2990 val_acc: 0.8809 | time: 26.6s
Epoch 104/500 | train_loss: 0.3697 train_acc: 0.8636 | val_loss: 0.3228 val_acc: 0.8792 | time: 23.3s
Epoch 105/500 | train_loss: 0.3723 train_acc: 0.8668 | val_loss: 0.2964 val_acc: 0.8914 | time: 24.6s
Epoch 106/500 | train_loss: 0.3704 train_acc: 0.8607 | val_loss: 0.2997 val_acc: 0.8897 | time: 23.2s
Epoch 107/500 | train_loss: 0.3736 train_acc: 0.8625 | val_loss: 0.3042 val_acc: 0.8757 | time: 26.1s
Epoch 108/500 | train_loss: 0.3644 train_acc: 0.8679 | val_loss: 0.2897 val_acc: 0.8984 | time: 26.3s
Epoch 109/500 | train_loss: 0.3771 train_acc: 0.8617 | val_loss: 0.2949 val_acc: 0.8879 | time: 24.9s
Epoch 110/500 | train_loss: 0.3716 train_acc: 0.8642 | val_loss: 0.3077 val_acc: 0.8774 | time: 24.0s
Epoch 111/500 | train_loss: 0.3666 train_acc: 0.8658 | val_loss: 0.3059 val_acc: 0.8757 | time: 23.4s
Epoch 112/500 | train_loss: 0.3735 train_acc: 0.8627 | val_loss: 0.2925 val_acc: 0.8914 | time: 27.6s
Epoch 113/500 | train_loss: 0.3758 train_acc: 0.8566 | val_loss: 0.2942 val_acc: 0.8897 | time: 25.4s
Epoch 114/500 | train_loss: 0.3718 train_acc: 0.8580 | val_loss: 0.2946 val_acc: 0.8862 | time: 24.3s
Epoch 115/500 | train_loss: 0.3712 train_acc: 0.8650 | val_loss: 0.3075 val_acc: 0.8844 | time: 23.2s
Epoch 116/500 | train_loss: 0.3596 train_acc: 0.8662 | val_loss: 0.3101 val_acc: 0.8757 | time: 24.1s
Epoch 117/500 | train_loss: 0.3616 train_acc: 0.8703 | val_loss: 0.2960 val_acc: 0.8844 | time: 25.8s
Epoch 118/500 | train_loss: 0.3676 train_acc: 0.8629 | val_loss: 0.3109 val_acc: 0.8757 | time: 20.8s
Epoch 119/500 | train_loss: 0.3767 train_acc: 0.8599 | val_loss: 0.3088 val_acc: 0.8844 | time: 22.4s
Epoch 120/500 | train_loss: 0.3702 train_acc: 0.8578 | val_loss: 0.2904 val_acc: 0.8897 | time: 23.8s
Epoch 121/500 | train_loss: 0.3591 train_acc: 0.8681 | val_loss: 0.3052 val_acc: 0.8809 | time: 25.4s
Epoch 122/500 | train_loss: 0.3699 train_acc: 0.8699 | val_loss: 0.3068 val_acc: 0.8827 | time: 22.0s
